timestamp,age_group,current_stage,field,tech_interest,learning_source,biggest_barrier,education_gap,want_to_learn,learning_level,transferable_skills,desired_outcome,preferred_format,programme_length,learning_activities,engagement_drivers,boring_factors,launchpad_appeal,access_model,joining_hesitation,willingness_to_pay
22/06/2026 15:32:04,21-24,Recent graduate,AI / Computer Science / Data,"Artificial intelligence / AI agents, Robotics, Cybersecurity, FinTech","YouTube, Google search, ChatGPT / AI tools",I lack access to mentors or industry professionals,"Real industry exposure, Mentorship","Beginner-friendly introductions to frontier technologies, Research opportunities, How to get internships or industry exposure",Advanced: I want technical or specialised content,"Problem-solving, Networking and follow-up, Understanding business models",A completed prototype,Hybrid: online learning plus in-person sessions,4-week programme,"Company visits, Hands-on workshops, Meeting industry practitioners, Team project work, Demo day or final presentation","Working on real company challenges, Building something practical, Internship, job, or research opportunities","Too many lectures, Too much theory, No real-world projects",5,"Free for learners, funded by companies or sponsors","The programme is too expensive, I am worried the content will be too difficult, I would only join if there are clear internship, job, research, or startup opportunities",A small amount if the programme is useful
22/06/2026 15:34:06,18-20,University student,Business / Entrepreneurship,"Artificial intelligence / AI agents, Cybersecurity, FinTech","YouTube, Online courses, University or school resources",I lack hands-on project opportunities,"Confidence to take action, Access to companies or labs, Supportive peer community","Real case studies from startups and companies, How deep tech is used in the real world, How to get internships or industry exposure",Intermediate: I know some basics and want to apply them,"Problem-solving, Building prototypes, Using AI tools",I am not sure,Hybrid: online learning plus in-person sessions,4-week programme,"Short videos explaining concepts, Online project feedback, Recorded sessions I can watch later","Working on real company challenges, Building something practical, Getting mentor feedback","Too many lectures, Too much theory, Too technical too quickly",4,"Free for learners, funded by companies or sponsors","The programme is too expensive, The time commitment is too high, I am not confident enough to join",A small amount if the programme is useful
22/06/2026 15:35:46,21-24,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Robotics","Google search, Online courses, University or school resources",I do not know which pathway suits me,"Real industry exposure, Career guidance, Networking opportunities","Career pathways in deep tech industries, Hands-on prototyping, How to get internships or industry exposure",Career-focused: I want to understand pathways and opportunities,"Networking and follow-up, Building prototypes",A portfolio project,Mostly in-person with some online support,Weekend programme,"Company visits, Lab visits, Personalised learning roadmap, Recorded sessions I can watch later","Learning from real industry practitioners, Working on real company challenges, Getting mentor feedback","Too much theory, Too expensive, No certificate, portfolio, or visible outcome",4,Paid by companies looking for young talent,"The programme is too expensive, The time commitment is too high",A moderate amount if there are strong outcomes
22/06/2026 15:36:23,25-30,Early-career professional,AI / Computer Science / Data,"Artificial intelligence / AI agents, Cybersecurity","YouTube, ChatGPT / AI tools",I lack time,Real industry exposure,"Real case studies from startups and companies, Hands-on prototyping, Startup idea development",Intermediate: I know some basics and want to apply them,"Problem-solving, Networking and follow-up, Pitching ideas",A startup or venture concept,Fully in-person,1-day workshop,Networking with peers,"Getting mentor feedback, Meeting ambitious peers, Recognition, certificate, or portfolio evidence","Too technical too quickly, No real-world projects, Too expensive",3,"Low-cost for learners, partly funded by partners","I am worried the content will be too difficult, I do not know if it will help my career, I do not know if the certificate or outcome will be valuable",A small amount if the programme is useful
22/06/2026 15:36:39,21-24,University student,Biotechnology / Health / Medicine,Quantum technology,"YouTube, Google search, ChatGPT / AI tools",No problem,"Updated knowledge about new technologies, Real industry exposure, Hands-on projects","Beginner-friendly introductions to frontier technologies, How deep tech is used in the real world, Startup idea development",Beginner: explain the basics clearly,"Problem-solving, Building prototypes, Understanding business models",A startup or venture concept,Hybrid: online learning plus in-person sessions,4-week programme,"Lab visits, Meeting industry practitioners, Personalised learning roadmap, Online project feedback, Recorded sessions I can watch later","Building something practical, Internship, job, or research opportunities, Access to companies, labs, or founders","Too much theory, Too expensive, Too much time commitment",3,Paid by universities or schools,"The programme is too expensive, The time commitment is too high, The location is inconvenient",A small amount if the programme is useful
22/06/2026 15:36:45,21-24,University student,AI / Computer Science / Data,FinTech,"ChatGPT / AI tools, Online courses","I am interested, but not motivated enough yet","Real industry exposure, Hands-on projects",How to get internships or industry exposure,Beginner: explain the basics clearly,"Public speaking, Understanding business models, Turning ideas into action",Internship or job opportunity,Fully in-person,Weekend programme,"Company visits, Hands-on workshops, Team project work",Learning from real industry practitioners,"Too much theory, Not beginner-friendly",5,"Free for learners, funded by companies or sponsors","The programme is too expensive, The time commitment is too high, The location is inconvenient",A small amount if the programme is useful
22/06/2026 15:38:02,21-24,University student,AI / Computer Science / Data,Quantum technology,"YouTube, ChatGPT / AI tools, Social media",I do not know where to start,"Real industry exposure, Hands-on projects, Confidence to take action","Beginner-friendly introductions to frontier technologies, Hands-on prototyping, How to get internships or industry exposure",Intermediate: I know some basics and want to apply them,"Problem-solving, Working in teams, Building prototypes",A portfolio project,Mostly in-person with some online support,2-week sprint,"Hands-on workshops, Team project work, Hackathon-style challenge","Learning from real industry practitioners, Building something practical, Fun and interactive sessions","Too much theory, Too technical too quickly, Not beginner-friendly",3,"Free for learners, funded by companies or sponsors","I am worried the content will be too difficult, I do not know if it will help my career, I am not sure what I want to learn yet",A small amount if the programme is useful
22/06/2026 15:39:33,18-20,University student,AI / Computer Science / Data,Artificial intelligence / AI agents,YouTube,I do not know what skills I need,Updated knowledge about new technologies,Beginner-friendly introductions to frontier technologies,Beginner: explain the basics clearly,"Problem-solving, Networking and follow-up",A portfolio project,Fully online,4-week programme,"Company visits, Hands-on workshops, Team project work, Personalised learning roadmap",Building something practical,"Too many lectures, Too much theory, No real-world projects",4,Paid by companies looking for young talent,I prefer fully online learning,A moderate amount if there are strong outcomes
22/06/2026 15:39:40,21-24,University student,AI / Computer Science / Data,Artificial intelligence / AI agents,ChatGPT / AI tools,I do not know where to start,Hands-on projects,Beginner-friendly introductions to frontier technologies,Project-focused: I want to build something practical,"Problem-solving, Working in teams, Turning ideas into action",A portfolio project,Fully online,4-week programme,"Company visits, Team project work, Online project feedback","Learning from real industry practitioners, Working on real company challenges, Getting mentor feedback","Too many lectures, Too much theory, Not beginner-friendly",4,I am not sure,"The location is inconvenient, I am worried the content will be too difficult, I prefer fully online learning",A moderate amount if there are strong outcomes
22/06/2026 15:39:45,25-30,Early-career professional,Business / Entrepreneurship,Advanced materials,Online courses,"I am interested, but not motivated enough yet",Confidence to take action,Startup idea development,I am not sure yet,Turning ideas into action,Internship or job opportunity,Mostly in-person with some online support,3-month programme,Short videos explaining concepts,Clear career or research pathways,No clear career benefit,4,Paid by universities or schools,I am not confident enough to join,A moderate amount if there are strong outcomes
22/06/2026 15:40:18,21-24,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Robotics, I am not sure yet","Google search, ChatGPT / AI tools, Online courses","I am interested, but not motivated enough yet","Career guidance, Startup or research guidance, Confidence to take action","Beginner-friendly introductions to frontier technologies, Real case studies from startups and companies, How to get internships or industry exposure",Intermediate: I know some basics and want to apply them,"Public speaking, Understanding business models, Turning ideas into action",I am not sure,Hybrid: online learning plus in-person sessions,Ongoing community or membership,"Hands-on workshops, Mentorship sessions, Short videos explaining concepts, AI tutor or chatbot support, Personalised learning roadmap","Building something practical, Clear career or research pathways, Recognition, certificate, or portfolio evidence","Too much theory, Too expensive, Not beginner-friendly",5,"A mix of learners, companies, universities, and sponsors","The programme is too expensive, I am worried the content will be too difficult, I do not have enough background knowledge in deep tech",A small amount if the programme is useful
22/06/2026 15:40:46,25-30,Early-career professional,Sales,Artificial intelligence / AI agents,"YouTube, Google search, Friends or peers",I lack time,Supportive peer community,"Beginner-friendly introductions to frontier technologies, How to get internships or industry exposure",Career-focused: I want to understand pathways and opportunities,"Problem-solving, Networking and follow-up, Pitching ideas",A career roadmap,Hybrid: online learning plus in-person sessions,1-day workshop,Mentorship sessions,"Access to companies, labs, or founders",Too much time commitment,4,Paid by universities or schools,"I am not confident enough to join, I do not know if it will help my career, Nothing major would stop me",A small amount if the programme is useful
22/06/2026 15:40:46,18-20,University student,Finance / FinTech,"Artificial intelligence / AI agents, Cybersecurity, FinTech","YouTube, Google search, ChatGPT / AI tools",I do not know where to start,"Updated knowledge about new technologies, Hands-on projects, Startup or research guidance","Real case studies from startups and companies, Hands-on prototyping, Startup idea development",Intermediate: I know some basics and want to apply them,"Public speaking, Building prototypes, Using AI tools",A startup or venture concept,Self-paced learning with live check-ins,6-8 week programme,"Hands-on workshops, Mentorship sessions, Team project work, Short videos explaining concepts, Personalised learning roadmap","Building something practical, Fun and interactive sessions, Access to companies, labs, or founders","Too technical too quickly, No real-world projects, Too expensive",5,"A mix of learners, companies, universities, and sponsors","The programme is too expensive, The location is inconvenient",A moderate amount if there are strong outcomes
22/06/2026 15:41:34,18-20,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Robotics, Biotech / health tech, Cybersecurity",YouTube,No problem,"Real industry exposure, Hands-on projects","Career pathways in deep tech industries, Hands-on prototyping",Intermediate: I know some basics and want to apply them,"Building prototypes, Understanding business models",A completed prototype,Fully online,4-week programme,"Company visits, Hands-on workshops","Internship, job, or research opportunities",Too much time commitment,3,Paid by universities or schools,I am not sure what I want to learn yet,A moderate amount if there are strong outcomes
22/06/2026 15:41:45,18-20,University student,Economics,"Artificial intelligence / AI agents, Climate tech, Aerospace / space technology, FinTech","YouTube, Google search, Friends or peers",I do not know what skills I need,"Real industry exposure, Hands-on projects, Networking opportunities","Real case studies from startups and companies, How to build a portfolio, How to pitch and communicate ideas",Intermediate: I know some basics and want to apply them,"Problem-solving, Understanding business models, Turning ideas into action",A career roadmap,Hybrid: online learning plus in-person sessions,4-week programme,"Company visits, Hands-on workshops, Networking with peers","Learning from real industry practitioners, Working on real company challenges, Clear career or research pathways","Too many lectures, Too much theory, No real-world projects",4,"A mix of learners, companies, universities, and sponsors","The time commitment is too high, I am worried the content will be too difficult, I would only join if there are clear internship, job, research, or startup opportunities","A higher amount if there is clear internship, research, or startup access"
22/06/2026 15:42:20,25-30,Early-career professional,AI / Computer Science / Data,"Artificial intelligence / AI agents, Robotics, Cybersecurity","YouTube, ChatGPT / AI tools, Online courses",I do not know where to start,Updated knowledge about new technologies,Beginner-friendly introductions to frontier technologies,Career-focused: I want to understand pathways and opportunities,"Problem-solving, Using AI tools",A completed prototype,Fully online,1-day workshop,"Company visits, Lab visits, Hands-on workshops","Learning from real industry practitioners, Building something practical, Getting mentor feedback","Too many lectures, Too much theory",5,"Free for learners, funded by companies or sponsors","The programme is too expensive, The time commitment is too high",A moderate amount if there are strong outcomes
22/06/2026 15:43:28,15-17,University student,Climate / Sustainability,"Robotics, Climate tech, Aerospace / space technology","Google search, Online courses, University or school resources",I do not know where to start,"Updated knowledge about new technologies, Real industry exposure, Career guidance","Research opportunities, How to build a portfolio, How to pitch and communicate ideas",Beginner: explain the basics clearly,"Public speaking, Building prototypes, Understanding business models",A research proposal,Fully in-person,4-week programme,"Hands-on workshops, Team project work, Demo day or final presentation, AI tutor or chatbot support, Online project feedback","Getting mentor feedback, Meeting ambitious peers, Fun and interactive sessions","No clear career benefit, Too expensive, Not beginner-friendly",4,Paid by companies looking for young talent,"The location is inconvenient, Nothing major would stop me",A small amount if the programme is useful
22/06/2026 15:43:32,21-24,University student,education,"Semiconductors / chips, FinTech","University or school resources, Social media, Friends or peers",I lack hands-on project opportunities,"Career guidance, Networking opportunities, Confidence to take action","How deep tech is used in the real world, Research opportunities, Startup idea development",Beginner: explain the basics clearly,"Problem-solving, Working in teams, Turning ideas into action",A research proposal,Hybrid: online learning plus in-person sessions,2-week sprint,"Networking with peers, Mentorship sessions, Team project work","Learning from real industry practitioners, Working on real company challenges, Building something practical","Too many lectures, Too much theory, Too technical too quickly",3,Paid by companies looking for young talent,"The location is inconvenient, I am not confident enough to join, I am worried the content will be too difficult","A higher amount if there is clear internship, research, or startup access"
22/06/2026 15:43:57,21-24,University student,Engineering / Robotics,"Artificial intelligence / AI agents, Robotics, Biotech / health tech","YouTube, Google search, Online courses",I do not know where to start,"Real industry exposure, Career guidance","How deep tech is used in the real world, How to get internships or industry exposure, How to pitch and communicate ideas",Intermediate: I know some basics and want to apply them,"Networking and follow-up, Public speaking, Understanding business models",A career roadmap,Hybrid: online learning plus in-person sessions,2-week sprint,"Networking with peers, Meeting industry practitioners, Mentorship sessions, Short videos explaining concepts, Personalised learning roadmap","Learning from real industry practitioners, Working on real company challenges, Getting mentor feedback","Too many lectures, No clear career benefit, Too expensive",5,"Low-cost for learners, partly funded by partners","The programme is too expensive, The location is inconvenient, I do not know if it will help my career",A moderate amount if there are strong outcomes
22/06/2026 15:44:46,21-24,University student,Business / Entrepreneurship,Artificial intelligence / AI agents,Social media,I do not know what skills I need,"Real industry exposure, Mentorship, Access to companies or labs","Beginner-friendly introductions to frontier technologies, Career pathways in deep tech industries, Real case studies from startups and companies",Advanced: I want technical or specialised content,Problem-solving,A portfolio project,Fully in-person,3-month programme,Lab visits,Building something practical,No real-world projects,3,Paid by universities or schools,I am worried the content will be too basic,"A higher amount if there is clear internship, research, or startup access"
22/06/2026 15:45:04,18-20,University student,AI / Computer Science / Data,Artificial intelligence / AI agents,YouTube,I do not know where to start,Updated knowledge about new technologies,Beginner-friendly introductions to frontier technologies,Career-focused: I want to understand pathways and opportunities,Using AI tools,Internship or job opportunity,Mostly online with occasional in-person events,2-week sprint,Meeting industry practitioners,Clear career or research pathways,No real-world projects,3,Paid by companies looking for young talent,I am worried the content will be too basic,A moderate amount if there are strong outcomes
22/06/2026 15:45:07,21-24,University student,Business / Entrepreneurship,"Biotech / health tech, Climate tech","YouTube, Google search",I do not know which pathway suits me,"Mentorship, Networking opportunities, Confidence to take action","Beginner-friendly introductions to frontier technologies, Career pathways in deep tech industries, Startup idea development",Beginner: explain the basics clearly,"Problem-solving, Understanding business models, Turning ideas into action",A career roadmap,Hybrid: online learning plus in-person sessions,Weekend programme,"Lab visits, Hands-on workshops, Meeting industry practitioners, Demo day or final presentation, Online project feedback","Learning from real industry practitioners, Clear career or research pathways, Internship, job, or research opportunities","Too much theory, No industry access, Not beginner-friendly",3,"Free for learners, funded by companies or sponsors","The programme is too expensive, The time commitment is too high, I am not confident enough to join",Nothing / I would only join if it is free
22/06/2026 15:45:08,18-20,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Quantum technology, Aerospace / space technology, FinTech","YouTube, ChatGPT / AI tools, Friends or peers",I lack access to mentors or industry professionals,Updated knowledge about new technologies,"Real case studies from startups and companies, Hands-on prototyping, How to build a portfolio",Intermediate: I know some basics and want to apply them,"Problem-solving, Using AI tools, Understanding business models",A completed prototype,Hybrid: online learning plus in-person sessions,4-week programme,"Company visits, Hands-on workshops, Meeting industry practitioners, Personalised learning roadmap, Online project feedback","Learning from real industry practitioners, Working on real company challenges, Building something practical","Too much theory, No clear career benefit, Too expensive",5,"Low-cost for learners, partly funded by partners","The programme is too expensive, I am worried the content will be too basic",A moderate amount if there are strong outcomes
22/06/2026 15:46:04,21-24,University student,Biotechnology / Health / Medicine,Biotech / health tech,"YouTube, Google search, Social media",I lack hands-on project opportunities,"Hands-on projects, Confidence to take action, Access to companies or labs",How to get internships or industry exposure,Intermediate: I know some basics and want to apply them,"Working in teams, Turning ideas into action",Internship or job opportunity,Self-paced learning with live check-ins,2-week sprint,"Lab visits, Team project work","Internship, job, or research opportunities","Too many lectures, Too much theory",3,"A mix of learners, companies, universities, and sponsors","I am not confident enough to join, I am worried the content will be too difficult",A small amount if the programme is useful
22/06/2026 15:47:21,18-20,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Quantum technology, Advanced materials","Google search, ChatGPT / AI tools, Social media","I am interested, but not motivated enough yet",Confidence to take action,"Career pathways in deep tech industries, Real case studies from startups and companies, Research opportunities",Project-focused: I want to build something practical,"Problem-solving, Networking and follow-up, Understanding business models",A career roadmap,Self-paced learning with live check-ins,4-week programme,"Meeting industry practitioners, Team project work","Working on real company challenges, Building something practical",Too expensive,4,Paid by universities or schools,The programme is too expensive,I would only join with a scholarship or sponsorship
22/06/2026 15:47:29,21-24,University student,AI / Computer Science / Data,Artificial intelligence / AI agents,"Google search, ChatGPT / AI tools, University or school resources",I lack time,"Startup or research guidance, Confidence to take action, Access to companies or labs","Career pathways in deep tech industries, How deep tech is used in the real world, How to get internships or industry exposure",Advanced: I want technical or specialised content,"Pitching ideas, Understanding business models, Turning ideas into action",Internship or job opportunity,Fully in-person,2-week sprint,"Meeting industry practitioners, Mentorship sessions, Demo day or final presentation, Hackathon-style challenge, Online project feedback","Working on real company challenges, Building something practical, Getting mentor feedback","Too expensive, Too much time commitment, No certificate, portfolio, or visible outcome",4,"Free for learners, funded by companies or sponsors","The programme is too expensive, The location is inconvenient, I do not know if the certificate or outcome will be valuable",Nothing / I would only join if it is free
22/06/2026 15:47:51,21-24,University student,Business / Entrepreneurship,Artificial intelligence / AI agents,"YouTube, ChatGPT / AI tools, Social media",I lack money,Supportive peer community,"Beginner-friendly introductions to frontier technologies, Real case studies from startups and companies, How deep tech is used in the real world",Beginner: explain the basics clearly,"Problem-solving, Working in teams, Using AI tools",I am not sure,Hybrid: online learning plus in-person sessions,4-week programme,"Hands-on workshops, Networking with peers",Meeting ambitious peers,No real-world projects,3,"Low-cost for learners, partly funded by partners",The programme is too expensive,Nothing / I would only join if it is free
22/06/2026 15:49:48,21-24,University student,AI / Computer Science / Data,I am not sure yet,I usually do not know where to start,I lack money,Supportive peer community,"Beginner-friendly introductions to frontier technologies, Real case studies from startups and companies, Startup idea development",I am not sure yet,"Problem-solving, Public speaking, Working in teams",I am not sure,Self-paced learning with live check-ins,Ongoing community or membership,"Demo day or final presentation, Hackathon-style challenge, Short videos explaining concepts, Personalised learning roadmap, Online project feedback","Working on real company challenges, Getting mentor feedback, Internship, job, or research opportunities","Too many lectures, Too technical too quickly, No industry access",1,I am not sure,"I am worried the content will be too difficult, I am not sure what I want to learn yet, Nothing major would stop me",I am not sure
22/06/2026 15:49:59,21-24,University student,Engineering / Robotics,"Artificial intelligence / AI agents, Aerospace / space technology","ChatGPT / AI tools, Social media, Friends or peers",I do not know what skills I need,"Real industry exposure, Networking opportunities, Access to companies or labs","Hands-on prototyping, How to build a portfolio, How to get internships or industry exposure",Career-focused: I want to understand pathways and opportunities,"Problem-solving, Public speaking, Using AI tools",A certificate or micro-credential,I am not sure,Weekend programme,"Hands-on workshops, Hackathon-style challenge","Working on real company challenges, Fun and interactive sessions, Recognition, certificate, or portfolio evidence","Too many lectures, Too much theory, Too technical too quickly",3,"Low-cost for learners, partly funded by partners","The programme is too expensive, The time commitment is too high, The location is inconvenient",A moderate amount if there are strong outcomes
22/06/2026 15:52:19,21-24,University student,AI / Computer Science / Data,I am not sure yet,"YouTube, Google search, Online courses",I lack time,"Real industry exposure, Access to companies or labs","Beginner-friendly introductions to frontier technologies, How deep tech is used in the real world, How to get internships or industry exposure",Intermediate: I know some basics and want to apply them,"Problem-solving, Understanding business models, Turning ideas into action",A portfolio project,Hybrid: online learning plus in-person sessions,6-8 week programme,"Company visits, Lab visits, Hands-on workshops, Networking with peers, Meeting industry practitioners","Learning from real industry practitioners, Working on real company challenges, Recognition, certificate, or portfolio evidence","Too much theory, No clear career benefit, No certificate, portfolio, or visible outcome",4,Paid by universities or schools,"The programme is too expensive, I am worried the content will be too difficult, I would only join if there are clear internship, job, research, or startup opportunities",A small amount if the programme is useful
22/06/2026 15:53:19,15-17,High school student,Biotechnology / Health / Medicine,"Semiconductors / chips, Biotech / health tech, Climate tech, Quantum technology, Aerospace / space technology, Advanced materials","YouTube, Google search, Social media",I do not know where to start,"Mentorship, Networking opportunities, Access to companies or labs","Real case studies from startups and companies, How deep tech is used in the real world, Hands-on prototyping",Project-focused: I want to build something practical,Working in teams,A career roadmap,Mostly in-person with some online support,Ongoing community or membership,"AI tutor or chatbot support, Online project feedback",Meeting ambitious peers,Too expensive,4,Paid by government or foundations,I am worried the content will be too basic,I am not sure
